0.00110292	    0.286731 -4.90113e-12     0.662709	        0 -0.785398        -0  -2.18166        -0   1.39626        -0
0.00210292	   0.286733 2.97215e-05    0.662685	    1e-06 -0.785411   4.9e-05  -2.18173   7.1e-05   1.39629   4.9e-05
0.00310292	   0.286739 0.000118994    0.662612	    6e-06 -0.785447  0.000196  -2.18193   0.00028   1.39638  0.000193
0.00410292	   0.286749 0.000265677    0.662493	  1.3e-05 -0.785507  0.000438  -2.18226  0.000625   1.39652   0.00043
0.00510292	   0.286763 0.000467412    0.662329	  2.2e-05 -0.785588  0.000771  -2.18271  0.001101   1.39671  0.000758
0.00610292	   0.286781 0.000723378    0.662121	 3.5e-05 -0.78569 0.001193 -2.18328 0.001704  1.39696 0.001172
0.00710292	   0.286781 0.000723378    0.662121	 3.5e-05 -0.78569 0.001193 -2.18328 0.001704  1.39696 0.001172
0.00810292	 0.286828 0.0013904  0.661578	 6.8e-05 -0.78595 0.002294 -2.18477 0.003278  1.39759 0.002251
0.00910292	  0.286857 0.00179884   0.661246	  8.8e-05 -0.786106  0.002969  -2.18568  0.004243   1.39799  0.002911
0.0101029	   0.28689 0.00225477   0.660875	 0.000111 -0.786278  0.003723  -2.18669   0.00532   1.39842  0.003646
0.0111029	  0.286926 0.00275653   0.660466	 0.000137 -0.786464  0.004553  -2.18781  0.006507    1.3989  0.004454
0.0121029	  0.286966 0.00330244   0.660022	 0.000166 -0.786664  0.005457  -2.18901  0.007798   1.39943  0.005332
0.0131029	  0.287009 0.00389067   0.659542	 0.000197 -0.786876  0.006432  -2.19031  0.009192   1.39999  0.006277
0.0141029	  0.287055 0.00452002   0.659029	0.000231  -0.7871 0.007476  -2.1917 0.010685   1.4006 0.007286
0.0151029	  0.287055 0.00452002   0.659029	0.000231  -0.7871 0.007476  -2.1917 0.010685   1.4006 0.007286
0.0161029	  0.287156 0.00589693   0.657907	 0.000307 -0.787577  0.009764  -2.19473  0.013957   1.40195  0.009488
0.0171029	  0.287211 0.00664303   0.657299	 0.00035 -0.78783 0.011006 -2.19637 0.015731  1.40268 0.010677
0.0181029	  0.287211 0.00664303   0.657299	 0.00035 -0.78783 0.011006 -2.19637 0.015731  1.40268 0.010677
0.0191029	  0.287328 0.00823996   0.655997	 0.000444 -0.788358  0.013669  -2.19986  0.019539   1.40428  0.013214
