0.00110133	    0.286731 -4.90113e-12     0.662709	        0 -0.785398        -0  -2.18166        -0   1.39626        -0
0.00210133	   0.286733 2.97225e-05    0.662689	    1e-06 -0.785338   4.9e-05  -2.18164   7.1e-05    1.3961   4.9e-05
0.00310133	    0.28674 0.000119009    0.662625	    6e-06 -0.785164  0.000196  -2.18158   0.00028   1.39563  0.000193
0.00410133	   0.286752 0.000265748    0.662514	  1.3e-05 -0.784886  0.000438   -2.1815  0.000625   1.39486  0.000431
0.00510133	   0.286767 0.000467189    0.662357	  2.2e-05 -0.784507   0.00077   -2.1814  0.001101   1.39381  0.000758
0.00610133	   0.286785 0.000723041    0.662157	  3.4e-05 -0.784031  0.001192  -2.18128  0.001703   1.39249  0.001173
0.00710133	  0.286807 0.00103078   0.661914	  4.9e-05 -0.783459  0.001699  -2.18115  0.002428   1.39091  0.001672
0.00810133	  0.286833 0.00138932    0.66163	  6.6e-05 -0.782795   0.00229    -2.181  0.003273   1.38907  0.002253
0.00910133	  0.286862 0.00179623   0.661307	  8.5e-05 -0.782041  0.002961  -2.18084  0.004232   1.38699  0.002913
0.0101013	  0.286894 0.00225051   0.660946	 0.000106 -0.781201   0.00371  -2.18066  0.005304   1.38468  0.003649
0.0111013	  0.286928 0.00275087   0.660548	  0.00013 -0.780277  0.004535  -2.18046  0.006483   1.38214  0.004458
0.0121013	  0.286966 0.00329492   0.660114	 0.000156 -0.779271  0.005432  -2.18026  0.007766   1.37939  0.005339
0.0131013	  0.287006 0.00388168   0.659647	 0.000183 -0.778186    0.0064  -2.18004  0.009151   1.37644  0.006287
0.0141013	  0.287049 0.00450939   0.659147	 0.000213 -0.777025  0.007435  -2.17981  0.010633   1.37329    0.0073
0.0151013	  0.287093 0.00517667   0.658615	0.000244 -0.77579 0.008536 -2.17957 0.012209  1.36996 0.008377
0.0161013	   0.28714 0.00588268   0.658054	 0.000277 -0.774484  0.009701  -2.17932  0.013877   1.36645  0.009514
0.0171013	  0.287188 0.00662537   0.657463	 0.000312 -0.773108  0.010927  -2.17906  0.015631   1.36278  0.010708
0.0181013	  0.287238 0.00740357   0.656845	 0.000348 -0.771666  0.012212   -2.1788  0.017471   1.35896  0.011957
0.0191013	  0.287289 0.00821624     0.6562	 0.000387 -0.770159  0.013554  -2.17852  0.019391   1.35499  0.013259
0.0201013	  0.287342 0.00906108    0.65553	0.000426 -0.76859  0.01495 -2.17824  0.02139  1.35088  0.01461
0.0211013	  0.287396 0.00993853   0.654835	 0.000468 -0.766961    0.0164  -2.17796  0.023465   1.34664   0.01601
0.0221013	 0.287451 0.0108457  0.654118	 0.000511 -0.765275    0.0179  -2.17767  0.025611   1.34228  0.017454
0.0231013	 0.287507 0.0117819  0.653378	 0.000555 -0.763532  0.019449  -2.17738  0.027827    1.3378   0.01894
0.0241013	 0.287563 0.0127461  0.652618	 0.000601 -0.761737  0.021045  -2.17709  0.030109   1.33323  0.020466
0.0251013	  0.28762 0.0137373  0.651837	 0.000648 -0.759889  0.022687   -2.1768  0.032455   1.32856   0.02203
0.0261013	0.287678 0.014754 0.651038	 0.000697 -0.757993  0.024372  -2.17651  0.034862   1.32381  0.023628
0.0271013	 0.287736 0.0157955   0.65022	 0.000748 -0.756049  0.026099  -2.17621  0.037327   1.31898   0.02526
0.0281013	 0.287795 0.0168601  0.649386	  0.0008 -0.75406 0.027866 -2.17592 0.039847  1.31407 0.026921
0.0291013	 0.287854 0.0179467  0.648535	 0.000853 -0.752027  0.029671  -2.17563   0.04242    1.3091   0.02861
0.0301013	 0.287913 0.0190547  0.647669	 0.000908 -0.749953  0.031513  -2.17535  0.045043   1.30408  0.030325
0.0311013	 0.287972 0.0201834  0.646788	 0.000965 -0.747839  0.033391  -2.17507  0.047714   1.29901  0.032062
0.0321013	 0.288032 0.0213311  0.645894	 0.001023 -0.745687  0.035303  -2.17479  0.050429    1.2939   0.03382
0.0331013	0.288091 0.022497 0.644986	0.001083  -0.7435 0.037247 -2.17452 0.053187  1.28875 0.035597
0.0341013	0.288151  0.02368 0.644067	 0.001144 -0.741279  0.039222  -2.17426  0.055985   1.28358  0.037389
0.0351013	 0.288211 0.0248792  0.643136	 0.001207 -0.739025  0.041226    -2.174   0.05882   1.27838  0.039196
0.0361013	 0.288271 0.0260941  0.642195	0.001272 -0.73674 0.043259 -2.17375  0.06169  1.27317 0.041013
0.0371013	 0.288331 0.0273237  0.641243	 0.001338 -0.734427   0.04532  -2.17351  0.064592   1.26795   0.04284
0.0381013	0.288391 0.028567 0.640282	 0.001407 -0.732086  0.047406  -2.17328  0.067525   1.26273  0.044674
0.0391013	 0.288451 0.0298227  0.639312	0.001477 -0.72972 0.049516 -2.17306 0.070486  1.25752 0.046513
