0.00109375	    0.286731 -4.90113e-12     0.662709	        0 -0.785398        -0  -2.18166        -0   1.39626        -0
0.00209375	   0.286731 4.85225e-06     0.66271	        0 -0.785397     8e-06  -2.18166   1.2e-05   1.39627     8e-06
0.00309375	   0.286733 2.05674e-05    0.662707	   1e-06  -0.7854  3.4e-05 -2.18167  4.8e-05  1.39629  3.3e-05
0.00409375	   0.286735 4.55505e-05    0.662696	    2e-06 -0.785412   7.5e-05  -2.18171  0.000108   1.39633   7.4e-05
0.00509375	   0.286737 8.12807e-05    0.662678	    4e-06 -0.785434  0.000134  -2.18178  0.000191   1.39639  0.000132
0.00609375	    0.28674 0.000126711    0.662652	    6e-06 -0.785463  0.000209  -2.18187  0.000298   1.39647  0.000205
0.00709375	   0.286743 0.000182013    0.662619	    9e-06 -0.785501    0.0003  -2.18199  0.000428   1.39657  0.000295
0.00809375	   0.286746 0.000247009    0.662578	  1.2e-05 -0.785545  0.000407  -2.18213  0.000582   1.39668  0.000401
0.00909375	    0.28675 0.000322018     0.66253	  1.5e-05 -0.785597  0.000531  -2.18229  0.000759   1.39681  0.000522
0.0100938	   0.286754 0.000406886    0.662474	  1.9e-05 -0.785654  0.000671  -2.18248  0.000959   1.39695   0.00066
0.0110937	  0.286759 0.00050161   0.662411	  2.4e-05 -0.785718  0.000827  -2.18269  0.001182   1.39711  0.000813
0.0120938	   0.286764 0.000605896    0.662342	  2.9e-05 -0.785788  0.000999  -2.18292  0.001428   1.39728  0.000982
0.0130937	    0.28677 0.000719912    0.662264	  3.5e-05 -0.785862  0.001187  -2.18317  0.001696   1.39746  0.001167
0.0140938	   0.286775 0.000843478    0.662179	  4.1e-05 -0.785942  0.001391  -2.18345  0.001987   1.39765  0.001366
0.0150937	   0.286782 0.000976588    0.662088	  4.7e-05 -0.786027  0.001611  -2.18375  0.002301   1.39786  0.001581
0.0160938	  0.286788 0.00111897   0.661989	  5.4e-05 -0.786116  0.001846  -2.18406  0.002637   1.39807  0.001812
0.0170938	  0.286795 0.00127062   0.661883	 6.2e-05 -0.78621 0.002096  -2.1844 0.002995  1.39829 0.002057
0.0180937	  0.286803 0.00143168    0.66177	    7e-05 -0.786308  0.002362  -2.18476  0.003375   1.39853  0.002317
0.0190937	  0.286811 0.00160213    0.66165	  7.8e-05 -0.786409  0.002644  -2.18513  0.003777   1.39877  0.002592
0.0200938	   0.28682 0.00178183   0.661523	  8.7e-05 -0.786515  0.002941  -2.18553  0.004201   1.39902  0.002882
0.0210938	  0.286828 0.00197076   0.661389	  9.7e-05 -0.786624  0.003253  -2.18594  0.004647   1.39928  0.003187
0.0220937	  0.286838 0.00216851   0.661248	 0.000107 -0.786736   0.00358  -2.18638  0.005114   1.39955  0.003506
0.0230937	  0.286848 0.00237518     0.6611	 0.000117 -0.786852  0.003922  -2.18683  0.005603   1.39982  0.003839
0.0240938	  0.286858 0.00259148   0.660945	 0.000128 -0.786971   0.00428   -2.1873  0.006114    1.4001  0.004187
0.0250938	  0.286869 0.00281632   0.660784	  0.00014 -0.787093  0.004652  -2.18779  0.006645   1.40039  0.004549
0.0260937	   0.28688 0.00305005   0.660616	 0.000152 -0.787219  0.005039   -2.1883  0.007198   1.40069  0.004924
0.0270937	  0.286892 0.00329239   0.660441	 0.000165 -0.787346   0.00544  -2.18883  0.007772     1.401  0.005314
0.0280938	  0.286904 0.00354381   0.660259	 0.000178 -0.787477  0.005857  -2.18937  0.008366   1.40131  0.005717
0.0290938	 0.286916 0.0038035  0.660071	 0.000192 -0.787611  0.006287  -2.18993  0.008982   1.40163  0.006134
0.0300937	  0.286929 0.00407225   0.659876	 0.000206 -0.787746  0.006733  -2.19051  0.009618   1.40196  0.006565
0.0310937	  0.286943 0.00434901   0.659675	 0.000221 -0.787885  0.007192   -2.1911  0.010274    1.4023  0.007009
0.0320937	  0.286957 0.00463476   0.659467	 0.000237 -0.788025  0.007666  -2.19172  0.010951   1.40264  0.007466
0.0330937	  0.286971 0.00492865   0.659253	 0.000253 -0.788168  0.008154  -2.19234  0.011648   1.40299  0.007936
0.0340937	 0.286986 0.0052315  0.659032	  0.00027 -0.788314  0.008657  -2.19299  0.012366   1.40335   0.00842
0.0350937	  0.287001 0.00554192   0.658805	 0.000287 -0.788461  0.009173  -2.19365  0.013103   1.40371  0.008916
0.0360938	  0.287017 0.00586072   0.658571	0.000305 -0.78861 0.009703 -2.19433  0.01386  1.40408 0.009425
0.0370938	  0.287033 0.00618815   0.658332	 0.000323 -0.788762  0.010248  -2.19503  0.014638   1.40446  0.009946
0.0380938	  0.287049 0.00652312   0.658085	 0.000343 -0.788915  0.010805  -2.19574  0.015434   1.40485   0.01048
0.0390937	  0.287067 0.00686641   0.657833	0.000362 -0.78907 0.011377 -2.19646 0.016251  1.40524 0.011026
0.0400937	  0.287084 0.00721764   0.657574	 0.000383 -0.789227  0.011962  -2.19721  0.017086   1.40564  0.011585
0.0410937	 0.287102 0.0075769   0.65731	 0.000404 -0.789385  0.012561  -2.19797  0.017941   1.40605  0.012155
0.0420937	   0.28712 0.00794404   0.657039	 0.000425 -0.789546  0.013174  -2.19874  0.018815   1.40647  0.012737
0.0430938	  0.287139 0.00831888   0.656762	 0.000448 -0.789707  0.013799  -2.19953  0.019709   1.40689  0.013331
0.0440938	  0.287158 0.00870146   0.656479	 0.000471 -0.789871  0.014438  -2.20033  0.020621   1.40732  0.013937
0.0450938	  0.287178 0.00909217   0.656191	 0.000495 -0.790035  0.015091  -2.20115  0.021552   1.40776  0.014554
0.0460938	  0.287198 0.00948971   0.655895	 0.000519 -0.790201  0.015756  -2.20199  0.022501   1.40821  0.015183
0.0470937	  0.287218 0.00989491   0.655595	 0.000544 -0.790369  0.016434  -2.20284  0.023469   1.40866  0.015822
0.0480937	 0.287239 0.0103082  0.655288	  0.00057 -0.790537  0.017126   -2.2037  0.024456   1.40912  0.016473
0.0490937	  0.28726 0.0107283  0.654976	 0.000596 -0.790707   0.01783  -2.20458  0.025461   1.40959  0.017134
0.0500937	0.287282 0.011156 0.654658	 0.000624 -0.790878  0.018547  -2.20547  0.026483   1.41007  0.017807
0.0510938	0.287304 0.011591 0.654334	0.000652 -0.79105 0.019277 -2.20638 0.027524  1.41055  0.01849
0.0520938	 0.287326 0.0120328  0.654004	  0.00068 -0.791223  0.020019   -2.2073  0.028583   1.41105  0.019183
0.0530938	 0.287349 0.0124822  0.653669	  0.00071 -0.791397  0.020774  -2.20823   0.02966   1.41155  0.019887
0.0540938	 0.287372 0.0129387  0.653328	  0.00074 -0.791572  0.021542  -2.20918  0.030754   1.41206    0.0206
0.0550937	 0.287395 0.0134022  0.652982	 0.000771 -0.791748  0.022322  -2.21014  0.031866   1.41257  0.021324
0.0560937	 0.287419 0.0138725   0.65263	 0.000803 -0.791924  0.023114  -2.21111  0.032995    1.4131  0.022058
0.0570937	 0.287443 0.0143493  0.652272	 0.000835 -0.792101  0.023918   -2.2121  0.034141   1.41363  0.022801
0.0580937	 0.287468 0.0148334  0.651909	 0.000868 -0.792279  0.024735  -2.21311  0.035305   1.41418  0.023554
0.0590938	 0.287493 0.0153238  0.651541	 0.000902 -0.792457  0.025563  -2.21412  0.036485   1.41473  0.024317
0.0600938	 0.287518 0.0158215  0.651168	 0.000937 -0.792636  0.026404  -2.21515  0.037683   1.41529  0.025089
0.0610938	 0.287544 0.0163254  0.650789	 0.000973 -0.792815  0.027256  -2.21619  0.038897   1.41586  0.025869
0.0620938	 0.287569 0.0168361  0.650404	 0.001009 -0.792995  0.028121  -2.21724  0.040128   1.41643  0.026659
0.0630938	 0.287596 0.0173532  0.650015	 0.001047 -0.793175  0.028997   -2.2183  0.041375   1.41702  0.027458
0.0640938	 0.287622 0.0178763  0.649621	 0.001085 -0.793355  0.029884  -2.21938  0.042639   1.41762  0.028265
0.0650938	 0.287649 0.0184063  0.649221	 0.001124 -0.793536  0.030784  -2.22047  0.043918   1.41822  0.029081
0.0660938	0.287676 0.018942 0.648816	 0.001164 -0.793717  0.031694  -2.22157  0.045214   1.41883  0.029905
0.0670937	 0.287704 0.0194846  0.648406	 0.001205 -0.793897  0.032617  -2.22269  0.046526   1.41945  0.030737
0.0680937	 0.287732 0.0200326  0.647991	 0.001246 -0.794078   0.03355  -2.22381  0.047854   1.42009  0.031577
0.0690937	  0.28776 0.0205872  0.647571	 0.001289 -0.794259  0.034495  -2.22495  0.049197   1.42073  0.032425
0.0700937	 0.287788 0.0211475  0.647146	 0.001332 -0.794439  0.035451  -2.22609  0.050556   1.42138  0.033281
0.0710937	 0.287817 0.0217137  0.646717	0.001376 -0.79462 0.036418 -2.22725  0.05193  1.42204 0.034145
0.0720937	 0.287846 0.0222858  0.646283	0.001421  -0.7948 0.037396 -2.22842  0.05332  1.42271 0.035016
0.0730937	 0.287875 0.0228642  0.645843	0.001467 -0.79498 0.038386 -2.22961 0.054725  1.42338 0.035894
0.0740937	 0.287904 0.0234476  0.645399	0.001514 -0.79516 0.039385  -2.2308 0.056145  1.42407 0.036779
0.0750938	0.287934 0.024037 0.644951	 0.001562 -0.795339  0.040396    -2.232  0.057579   1.42477  0.037671
0.0760938	 0.287964 0.0246323  0.644498	 0.001611 -0.795518  0.041418  -2.23321  0.059029   1.42548   0.03857
0.0770938	 0.287994 0.0252328  0.644039	 0.001661 -0.795696   0.04245  -2.23444  0.060493    1.4262  0.039476
0.0780938	 0.288024 0.0258383  0.643577	 0.001711 -0.795874  0.043492  -2.23567  0.061972   1.42693  0.040388
0.0790938	 0.288055 0.0264497   0.64311	 0.001763 -0.796051  0.044545  -2.23692  0.063465   1.42767  0.041307
0.0800938	 0.288086 0.0270666  0.642639	 0.001816 -0.796227  0.045609  -2.23817  0.064972   1.42841  0.042231
0.0810938	 0.288117 0.0276884  0.642163	 0.001869 -0.796403  0.046683  -2.23943  0.066493   1.42917  0.043162
0.0820937	 0.288148 0.0283152  0.641682	 0.001923 -0.796578  0.047767  -2.24071  0.068028   1.42994  0.044099
0.0830937	  0.28818 0.0289474  0.641198	 0.001979 -0.796751  0.048861  -2.24199  0.069577   1.43072  0.045041
0.0840937	 0.288211 0.0295844  0.640709	 0.002035 -0.796924  0.049965  -2.24328   0.07114   1.43151  0.045989
0.0850937	 0.288243 0.0302268  0.640215	 0.002092 -0.797096   0.05108  -2.24458  0.072717   1.43231  0.046942
