0.00179746	    0.286731 -4.90113e-12     0.662709	        0 -0.785398        -0  -2.18166        -0   1.39626        -0
0.00279746	   0.286732 9.70432e-06    0.662693	        0 -0.785404   1.6e-05   -2.1817   2.4e-05   1.39628   1.6e-05
0.00379746	   0.286736 3.94831e-05    0.662645	    2e-06 -0.785422   6.5e-05  -2.18183   9.3e-05   1.39632   6.4e-05
0.00479746	   0.286743 8.84342e-05    0.662566	    4e-06 -0.785452  0.000146  -2.18204  0.000208   1.39638  0.000144
0.00579746	   0.286751 0.000155735    0.662456	    7e-06 -0.785494  0.000257  -2.18232  0.000367   1.39647  0.000253
0.00740963	   0.286751 0.000155735    0.662456	    7e-06 -0.785494  0.000257  -2.18232  0.000367   1.39647  0.000253
0.0129823	   0.286751 0.000155735    0.662456	    7e-06 -0.785494  0.000257  -2.18232  0.000367   1.39647  0.000253
0.0139823	  0.286763 0.00024143   0.662317	  1.2e-05 -0.785546  0.000398  -2.18269  0.000568   1.39658  0.000391
0.0149823	   0.286776 0.000344057     0.66215	  1.7e-05 -0.785609  0.000567  -2.18312  0.000811   1.39672  0.000558
0.0159823	  0.286792 0.00046424   0.661954	  2.2e-05 -0.785682  0.000766  -2.18363  0.001094   1.39687  0.000752
0.0171412	    0.28681 0.000601336     0.66173	  2.9e-05 -0.785765  0.000992  -2.18422  0.001418   1.39706  0.000974
0.0185827	    0.28681 0.000601336     0.66173	  2.9e-05 -0.785765  0.000992  -2.18422  0.001418   1.39706  0.000974
0.0195827	   0.286852 0.000924425    0.661205	  4.5e-05 -0.785961  0.001526  -2.18558   0.00218   1.39748  0.001496
0.0212847	   0.286852 0.000924425    0.661205	  4.5e-05 -0.785961  0.001526  -2.18558   0.00218   1.39748  0.001496
0.0222847	 0.286901 0.0013075  0.660582	  6.5e-05 -0.786193  0.002159  -2.18721  0.003086   1.39799  0.002114
0.0232847	 0.286901 0.0013075  0.660582	  6.5e-05 -0.786193  0.002159  -2.18721  0.003086   1.39799  0.002114
0.0242847	  0.286929 0.00152014   0.660235	  7.6e-05 -0.786321  0.002511  -2.18811  0.003589   1.39828  0.002456
0.0252847	 0.286958 0.0017463  0.659867	  8.7e-05 -0.786457  0.002886  -2.18907  0.004125   1.39858   0.00282
0.0262847	   0.28702 0.00223825   0.659065	0.000114 -0.78675 0.003701 -2.19115 0.005292  1.39924  0.00361
0.0272847	   0.28702 0.00223825   0.659065	0.000114 -0.78675 0.003701 -2.19115 0.005292  1.39924  0.00361
0.0282847	  0.287053 0.00250262   0.658634	 0.000128 -0.786908   0.00414  -2.19227   0.00592    1.3996  0.004035
0.0292847	  0.287088 0.00277889   0.658184	 0.000143 -0.787071  0.004599  -2.19344  0.006577   1.39997  0.004477
0.0302847	  0.287124 0.00306702   0.657715	 0.000159 -0.787241  0.005078  -2.19466  0.007263   1.40037  0.004937
0.0312847	  0.287161 0.00336578   0.657227	 0.000176 -0.787416  0.005575  -2.19592  0.007975   1.40077  0.005414
0.0322847	  0.287199 0.00367566   0.656722	 0.000194 -0.787597  0.006091  -2.19723  0.008714    1.4012  0.005908
0.0332847	  0.287238 0.00399597     0.6562	 0.000213 -0.787784  0.006625  -2.19859  0.009478   1.40164  0.006417
0.0342847	 0.287278 0.0043258  0.655662	 0.000233 -0.787975  0.007175  -2.19998  0.010267    1.4021  0.006942
0.0352847	  0.287319 0.00466517   0.655108	 0.000253 -0.788171  0.007742  -2.20142   0.01108   1.40257   0.00748
