0.0472526	   0.287685 0.000929088    0.612094	0.6 0.3 0.4	 0.0371444  0.0367147 -0.0227084	0.0569504
0.0482526	   0.287723 0.000966244    0.612071	0.6 0.3 0.4	 0.0376108  0.0372179 -0.0228953	0.0576536
0.0492526	   0.28776 0.00100329   0.612048	0.6 0.3 0.4	 0.0380656   0.037711 -0.0230712	0.0583386
0.0502526	  0.287799 0.00104138   0.612025	0.6 0.3 0.4	0.0385088  0.038194 -0.023236	0.0590053
0.0512526	 0.287838 0.0010796  0.612002	0.6 0.3 0.4	 0.0389413   0.038667 -0.0233912	0.059655
0.0522526	  0.287877 0.00111885   0.611978	0.6 0.3 0.4	 0.0393632  0.0391306 -0.0235361	0.0602878
0.0532526	0.287916 0.001158 0.611954	0.6 0.3 0.4	  0.039774  0.0395849 -0.0236709	0.0609036
0.0542526	  0.287956 0.00119803   0.611931	0.6 0.3 0.4	 0.0401751  0.0400294 -0.0237961	0.0615032
0.0552526	  0.287997 0.00123795   0.611907	0.6 0.3 0.4	  0.040566  0.0404646 -0.0239122	0.0620869
0.0562526	  0.288037 0.00127874   0.611883	0.6 0.3 0.4	0.0409473 0.0408909 -0.024019	0.0626551
0.0572526	  0.288079 0.00131983   0.611859	0.6 0.3 0.4	0.0413189 0.0413088 -0.024117	0.0632084
0.0582526	   0.28812 0.00136139   0.611835	0.6 0.3 0.4	 0.0416813  0.0417179 -0.0242065	0.0637469
0.0592526	  0.288162 0.00140325    0.61181	0.6 0.3 0.4	0.0420348 0.0421186 -0.024287	0.064271
0.0602526	  0.288204 0.00144599   0.611787	0.6 0.3 0.4	 0.0423796   0.042511 -0.0243604	0.0647815
0.0612526	  0.288247 0.00148845   0.611762	0.6 0.3 0.4	 0.0427156  0.0428949 -0.0244253	0.0652778
0.0622526	  0.288289 0.00153127   0.611737	0.6 0.3 0.4	 0.0430432  0.0432713 -0.0244823	0.065761
0.0632526	 0.288333 0.0015748  0.611713	0.6 0.3 0.4	 0.0433631  0.0436392 -0.0245327	0.0662314
0.0642526	  0.288376 0.00161863   0.611688	0.6 0.3 0.4	  0.043675  0.0440003 -0.0245756	0.0666895
