0.00111612	    0.286731 -5.24738e-12     0.612709	-0.65 -0.45   0.7	        0 -0.785398        -0  -2.18166        -0   1.39626        -0
0.00211612	   0.286684 -2.2884e-05    0.612718	-0.65 -0.45   0.7	   -1e-06 -0.785424  -3.2e-05  -2.18161    -6e-05     1.396  -3.3e-05
0.00311612	    0.286545 -8.99989e-05     0.612739	-0.65 -0.45   0.7	   -2e-06 -0.785507 -0.000126  -2.18146 -0.000239   1.39523 -0.000133
0.00411612	    0.286313 -0.000201991     0.612769	-0.65 -0.45   0.7	   -5e-06 -0.785656 -0.000283  -2.18124 -0.000535   1.39395 -0.000297
0.00511613	     0.28599 -0.000357403     0.612808	-0.65 -0.45   0.7	   -1e-05 -0.785876 -0.000501  -2.18096 -0.000944   1.39221 -0.000521
0.00611613	   0.285577 -0.00055602    0.612855	-0.65 -0.45   0.7	 -1.8e-05 -0.786171  -0.00078  -2.18061 -0.001463   1.39001 -0.000802
0.00711613	    0.285078 -0.000795479      0.61291	-0.65 -0.45   0.7	 -2.9e-05 -0.786546 -0.001117  -2.18022 -0.002085   1.38739 -0.001132
0.00811613	   0.284495 -0.00107538    0.612973	-0.65 -0.45   0.7	 -4.4e-05 -0.787007 -0.001512  -2.17979 -0.002806   1.38437 -0.001508
0.00911612	   0.283828 -0.00139456    0.613045	-0.65 -0.45   0.7	 -6.3e-05 -0.787555 -0.001963  -2.17932 -0.003624   1.38097 -0.001929
0.0101161	   0.283079 -0.00175248    0.613124	-0.65 -0.45   0.7	 -8.8e-05 -0.788193 -0.002469  -2.17882 -0.004535    1.3772 -0.002391
0.0111161	   0.282252 -0.00214797    0.613212	-0.65 -0.45   0.7	-0.000118 -0.788923  -0.00303   -2.1783 -0.005534   1.37309 -0.002891
0.0121161	  0.281347 -0.0025797   0.613307	-0.65 -0.45   0.7	-0.000154 -0.789748 -0.003643  -2.17776 -0.006619   1.36864 -0.003426
0.0131161	   0.280365 -0.00304737    0.613411	-0.65 -0.45   0.7	-0.000197 -0.790671 -0.004308  -2.17721 -0.007787   1.36389 -0.003994
0.0141161	   0.279308 -0.00355026    0.613523	-0.65 -0.45   0.7	-0.000248 -0.791691 -0.005024  -2.17664 -0.009035   1.35885 -0.004594
0.0151161	   0.278178 -0.00408682    0.613642	-0.65 -0.45   0.7	-0.000306  -0.79281 -0.005789  -2.17607 -0.010361   1.35352 -0.005223
0.0161161	   0.276976 -0.00465694     0.61377	-0.65 -0.45   0.7	-0.000372  -0.79403 -0.006604   -2.1755 -0.011761   1.34791 -0.005881
0.0171161	   0.275703 -0.00525937    0.613905	-0.65 -0.45   0.7	-0.000447 -0.795351 -0.007466  -2.17492 -0.013234   1.34206 -0.006564
0.0181161	   0.274361 -0.00589345    0.614048	-0.65 -0.45   0.7	-0.000531 -0.796775 -0.008375  -2.17435 -0.014777   1.33596 -0.007273
